OTU,Phylum
OTU_291,Bacillota
OTU_292,Pseudomonadota
OTU_294,Bacillota
OTU_295,Bacillota
OTU_296,Bacillota
OTU_297,Spirochaetota
OTU_298,Spirochaetota
OTU_300,Bacteroidota
OTU_304,Spirochaetota
OTU_308,Bacillota
OTU_309,SR1
OTU_310,Spirochaetota
OTU_311,Bacillota
OTU_312,Bacillota
OTU_313,Spirochaetota
OTU_314,Pseudomonadota
OTU_315,Bacillota
OTU_317,Bacillota
OTU_318,Bacillota
OTU_319,Bacillota
OTU_321,Spirochaetota
OTU_323,Bacillota
OTU_324,Bacillota
OTU_325,Bacillota
OTU_326,Elusimicrobiota
OTU_327,Bacillota
OTU_329,Spirochaetota
OTU_330,Planctomycetota
OTU_331,Pseudomonadota
OTU_332,Pseudomonadota
OTU_333,Fusobacteriota
OTU_336,Bacteroidota
OTU_337,Bacillota
OTU_338,Bacillota
OTU_339,Bacillota
OTU_342,Bacillota
OTU_343,Actinomycetota
OTU_345,Bacillota
OTU_346,Bacillota
OTU_348,Bacillota
OTU_349,Elusimicrobiota
OTU_350,Bacillota
OTU_351,Actinomycetota
OTU_352,Bacillota
OTU_353,Planctomycetota
OTU_354,Bacillota
OTU_355,Pseudomonadota
OTU_356,Bacillota
OTU_357,Bacillota
OTU_358,Bacillota
OTU_359,Bacillota
OTU_361,Bacteroidota
OTU_362,Pseudomonadota
OTU_363,Bacillota
OTU_365,Actinomycetota
OTU_367,Bacillota
OTU_369,Elusimicrobiota
OTU_371,Bacillota
OTU_372,Elusimicrobiota
OTU_373,Spirochaetota
OTU_374,Bacillota
OTU_375,Bacillota
OTU_376,Bacillota
OTU_377,Bacillota
OTU_379,Bacillota
OTU_380,Bacillota
OTU_381,Bacillota
OTU_382,Bacillota
OTU_383,Bacillota
OTU_384,Bacillota
OTU_386,Bacillota
OTU_387,Elusimicrobiota
OTU_388,Bacillota
OTU_389,Bacillota
OTU_390,Bacteroidota
OTU_391,Spirochaetota
OTU_393,Bacillota
OTU_394,Actinomycetota
OTU_395,Bacteroidota
OTU_401,Pseudomonadota
OTU_402,Pseudomonadota
OTU_403,Bacillota
OTU_405,Bacillota
OTU_406,Bacillota
OTU_407,Bacillota
OTU_408,Bacillota
OTU_409,Bacillota
OTU_411,Bacillota
OTU_412,Bacillota
OTU_413,Bacillota
OTU_415,Bacillota
OTU_416,Bacillota
OTU_417,Pseudomonadota
OTU_418,Bacillota
OTU_421,Spirochaetota
OTU_422,Pseudomonadota
OTU_425,Bacillota
OTU_426,Elusimicrobiota
OTU_427,Bacillota
OTU_428,Bacillota
OTU_429,Elusimicrobiota
OTU_432,Pseudomonadota
OTU_433,Planctomycetota
OTU_434,Bacillota
OTU_435,Pseudomonadota
OTU_436,Bacillota
OTU_438,Bacillota
OTU_439,Bacillota
OTU_440,Bacillota
OTU_441,Bacillota
OTU_442,Spirochaetota
OTU_443,Bacillota
OTU_444,Bacillota
OTU_446,Bacillota
OTU_447,Bacillota
OTU_448,Bacillota
OTU_449,Spirochaetota
OTU_450,Bacteroidota
OTU_451,Spirochaetota
OTU_452,Bacillota
OTU_454,Bacillota
OTU_455,Bacillota
OTU_456,Pseudomonadota
OTU_458,Bacteroidota
OTU_459,Bacillota
OTU_460,Bacillota
OTU_463,Bacillota
OTU_464,Bacteroidota
OTU_466,Bacillota
OTU_469,Bacillota
OTU_470,Bacillota
OTU_471,Bacillota
OTU_472,Bacillota
OTU_474,Bacteroidota
OTU_477,Bacillota
OTU_478,Bacillota
OTU_479,Bacillota
OTU_482,Bacillota
OTU_485,Bacteroidota
OTU_486,Spirochaetota
OTU_487,Bacillota
OTU_491,Spirochaetota
