gene_id	fh1	fh2	hf3	ref1	ref2	ref3
"CE120905_359"	1	0	0	0	0	0
"CE121001_651"	3	0	0	3	2	0
"CE121008_365"	0	0	1	0	0	0
"CE121138_621"	3	1	0	3	0	0
"CE121312_179"	2	0	0	1	1	0
"CE121322_44"	0	0	0	0	0	0
"CE121383_8"	0	0	0	0	0	0
"CE121644_290"	1	0	0	0	0	1
"CE121694_49"	0	0	0	0	0	0
"CE121733_9"	0	0	0	0	0	0
"CE12200_350"	1	0	0	0	0	1
"CE122011_379"	3	1	0	7	1	1
"CE122133_829"	4	1	1	6	1	1
"CE122834_509"	3	1	1	3	0	0
"CE122872_590"	5	0	2	11	1	1
"CE123250_54"	0	0	0	1	0	0
"CE123529_267"	0	1	0	1	0	0
"CE124202_385"	0	0	2	1	0	1
"CE124231_4092"	23	9	8	1	5	0
"CE124387_22"	0	0	0	0	0	0
"CE124475_509"	4	0	0	1	1	1
"CE124507_41"	0	0	0	0	0	0
"CE124511_297"	1	0	1	2	1	0
"CE124589_548"	0	2	2	3	1	1
"CE124764_94"	1	0	0	0	0	0
"CE124807_67"	0	0	0	1	0	0
"CE125534_65"	0	0	0	2	0	0
"CE125676_1629"	3	0	1	2	1	1
"CE125738_746"	4	5	1	8	2	1
"CE125744_143"	13	2	6	0	0	0
"CE125795_122"	0	0	0	0	1	1
"CE125819_12494"	58	26	15	47	12	16
"CE126113_3839"	14	3	3	12	1	8
"CE126156_632"	0	0	0	3	1	0
"CE126271_1572"	5	1	0	1	0	0
"CE126307_209"	1	0	0	0	0	0
"CE126447_554"	0	1	1	2	0	0
"CE126529_7242"	4	3	3	4	1	3
"CE126713_265"	2	2	0	1	0	2
"CE126754_428"	0	0	0	0	0	0
"CE126788_820"	1	0	0	0	0	0
"CE126944_3724"	4	1	3	9	1	4
"CE126951_1845"	3	0	0	3	0	3
"CE127065_105"	0	0	0	0	0	0
"CE127194_654"	1	1	2	3	0	0
"CE127277_98"	0	1	0	1	0	1
"CE12727_973"	5	1	3	2	0	2
"CE127350_91"	0	0	0	2	0	1
"CE127628_104"	1	0	0	1	0	0
"CE127892_164"	0	1	0	3	0	1
"CE128036_445"	3	0	2	4	0	2
"CE128055_190"	2	0	0	1	0	0
"CE128128_83"	1	0	0	1	0	1
"CE128229_725"	0	0	0	0	0	0
"CE128292_203"	0	0	1	0	0	1
"CE128456_267"	1	0	0	2	1	0
"CE12850_50"	0	0	0	0	0	0
"CE128751_244"	0	0	0	1	0	0
"CE128787_217"	2	0	0	1	0	0
"CE128812_703"	0	0	0	1	0	1
"CE128818_98"	0	0	0	2	0	0
"CE128853_1781"	2	0	1	4	2	2
"CE129009_5346"	9	8	2	15	3	2
"CE129284_975"	3	0	0	2	2	0
"CE129502_2633"	4	2	4	1	0	0
"CE129522_80"	1	0	0	1	0	0
"CE129523_264"	0	0	0	0	0	0
"CE129578_380"	0	0	0	0	0	0
"CE129588_1702"	3	2	4	15	6	3
"CE129650_238"	1	0	0	0	0	0
"CE130170_242"	0	0	0	0	0	0
"CE130538_673"	0	0	2	5	1	0
"CE130570_631"	0	0	0	1	0	0
"CE13087_8903"	28	14	16	41	4	10
"CE131350_451"	1	0	0	1	1	2
"CE131486_228"	3	1	0	1	0	1
"CE131509_356"	2	0	0	0	2	0
"CE131954_633"	0	1	1	2	0	2
"CE132035_329"	2	1	0	0	0	0
"CE132043_40"	0	0	0	0	0	0
"CE132079_36"	0	0	0	0	0	0
"CE132225_308"	3	0	0	1	0	0
"CE132319_62"	0	1	1	0	1	0
"CE132445_79"	0	0	1	0	0	0
"CE132498_3619"	0	0	0	0	0	0
"CE13249_677"	5	1	3	4	2	0
"CE132800_20500"	13	1	5	5	2	4
"CE132832_45288"	59	15	22	44	15	16
"CE133206_457"	2	0	1	1	0	1
"CE133290_289"	1	0	0	3	0	0
"CE13338_7144"	19	9	5	11	11	3
"CE1333_23988"	126	38	31	51	27	14
"CE133555_573"	0	1	0	2	0	0
"CE133595_1333"	1	0	0	0	0	1
"CE133886_51"	0	0	1	0	0	0
"CE133996_105"	0	0	0	0	0	0
"CE134084_2173"	4	2	1	16	1	2
"CE134113_255"	0	0	0	3	0	1
